data_source,scraped_time,name,organization_type,company_name,position
https://www.parliament.gh/mps?mp=161,2017-10-17 16:53:58.377366,EYIAH  KYEI BAFFOUR,,2012-2016 ,DEPUTY HEAD 
https://www.parliament.gh/mps?mp=166,2017-10-17 16:54:01.095094,FRIMPONG YAW ADDO,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT 
https://www.parliament.gh/mps?mp=167,2017-10-17 16:54:01.578934,JOSEPH ALBERT QUARM,,PROF QUARM PUBLICATIONS LTDCEO,CEO
https://www.parliament.gh/mps?mp=162,2017-10-17 16:54:01.654269,ABU-BAKAR SADDIQUE BONIFACE,,MINISTRY OF FINANCEDEPUTY MINISTER - TRADE & INDUSTRY ,SENIOR ECONOMIC OFFICER
https://www.parliament.gh/mps?mp=163,2017-10-17 16:54:02.797862,KWAKU  AMPRATWUM-SARPONG,,LONDON BROUGH OF LAMBETH,SENIOR ADMINISTRATION OFFICER
https://www.parliament.gh/mps?mp=171,2017-10-17 16:54:04.771840,SETH KWAME ACHEAMPONG,,PARLIAMENT OF GHANAMEMBER OF PARLIAMENT,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=164,2017-10-17 16:54:04.895782,COLLINS OWUSU AMANKWAH,,ALL FRIENDS FMSCALE MANAGER ,GENERAL MANAGER
https://www.parliament.gh/mps?mp=165,2017-10-17 16:54:10.237130,MATTHEW OPOKU PREMPEH,,PARLIAMENT OF GHANAMEMBER,MEMBER
https://www.parliament.gh/mps?mp=169,2017-10-17 16:54:10.818235,ABDUL-AZIZ  MOHAMMED,,GHANA INVESTMENT FUND FOR ELECTRONIC COMMUNICATIONS,FINANCE MANAGER
https://www.parliament.gh/mps?mp=168,2017-10-17 16:54:11.034912,EKOW  HAYFORD,,2010-2013 ,MANAGER
https://www.parliament.gh/mps?mp=175,2017-10-17 16:54:13.996925,AMBROSE  DERY,,DERY & CO,MANAGING DIRECTOR
https://www.parliament.gh/mps?mp=172,2017-10-17 16:54:15.235741,MARK KURT NAWAANE,,ST MARK HOSPITAL,CEO
https://www.parliament.gh/mps?mp=173,2017-10-17 16:54:16.352742,ALBAN SUMANA KINGSFORD BAGBIN,,GHANA STATISTICAL SERVICE ASST PERSONAL OFFICER ,ASST ADMIN OFFICER
